INDIVIDUAL/CLOTH (PAÑO);SAMPLE #;DIAMAX (mm);DIAMAXPER (mm);DIAMINPER (mm);MAX THICKNESS (mm);WEIGHT (g);notes
343 (UE 344  INV 1);51;6;3;3;1.8;0.0933;
PAÑO (UE 175  INV: 24) ;86;6.4;3.5;2.5;1.9;0.0933;
PAÑO (UE 175  INV: 24) ;44;6.1;4;3;2.2;0.0933;
105 (UE 105  INV: 3);27;6;2.9;2;1.9;0.0934;
114 (UE 167  INV 6);10;6;3;2;2;0.0934;
105 (UE 105  INV: 3);18;6;2.2;2;1.2;0.0935;
PAÑO (UE 175  INV: 24) ;52;5.9;3;2;1.9;0.0935;
104 (UE 104  INV: 3);49;5.8;3.4;2.2;2.1;0.0935;
101 y 102 (UE 94 y 95  INV 94 y 95);30;5.1;2.8;2.5;2.1;0.0937;
104 (UE 104  INV: 3);15;5.4;2.8;1.8;1.2;0.0937;
108 (UE 95  INV 8);36;5.9;3;2;1.9;0.0939;
 102 (UE 94  INVs: 89, 93, 90 y 88);88;6;2.5;2;1.8;0.094;
PAÑO (UE 175  INV: 23) ;35;5.5;2.1;2;2.1;0.0941;
104 (UE 104  INV: 3);63;5.5;2.4;2.2;1.5;0.0941;
103 (UE 163  INV 16);14;6.5;3;2;1.2;0.0941;
108 (UE 95  INV 8);17;5.9;3.1;3;1.9;0.0943;
108 (UE 95  INV 8);9;6;3.5;2.3;2.1;0.0943;
PAÑO (UE 339  INV: 2);59;5.5;1.8;1.2;1.1;0.0944;
104 (UE 104  INV: 3);31;6.2;4;2.4;2;0.0945;
 102 (UE 94  INVs: 89, 93, 90 y 88);89;5.9;2.8;2;2;0.0946;
356 (UE 357);29;5;2;1.8;1.5;0.0951;
104 (UE 104  INV: 3);27;5.5;2;1.8;1.4;0.0951;
PAÑO (UE 339  INV: 2);32;6;3;2.3;1.9;0.0952;
PAÑO (UE 175  INV: 24) ;70;5.5;2.5;1.7;1.3;0.0953;
108 (UE 95  INV 8);46;6;3;2.2;1.9;0.0955;
111 (UE 355 INV 1);68;6;3;2;2;0.0955;
105 (UE 105  INV: 3);17;5.5;2.9;2;1.1;0.0957;
356 (UE 357);27;5.5;1.5;1.5;1.1;0.0958;
111 (UE 355 INV 1);1;5;2.1;2;1.8;0.0958;
PAÑO (UE 175  INV: 24) ;99;6;3;2;1.8;0.0958;
PAÑO (UE 175  INV: 24) ;46;6;3.2;2;1.8;0.0958;
108 (UE 95  INV 8);85;5.9;3.4;2;2;0.0958;
104 (UE 104  INV: 3);32;6;3.7;2.1;1.9;0.0958;
111 (UE 355 INV 1);18;4.5;2;2;2.5;0.0961;
114 (UE 167  INV 6);24;6;2;1.8;1.2;0.0961;
PAÑO (UE 175  INV: 23) ;68;6.1;2;1.9;1.8;0.0961;
343 (UE 344  INV 1);44;5.8;2.5;2.2;2;0.0961;
 102 (UE 94  INVs: 89, 93, 90 y 88);17;5.9;3.4;2;1.8;0.0961;
111 (UE 355 INV 1);96;5.5;2.5;2.2;1.8;0.0963;
PAÑO (UE 175  INV: 24) ;88;6.8;3;3;2;0.0963;
104 (UE 104  INV: 3);46;6.3;4;2.9;2;0.0964;
343 (UE 344  INV 1);25;5.1;2.5;2;2;0.0966;
105 (UE 105  INV: 3);35;6;3.1;3;1.9;0.0966;
 102 (UE 94  INVs: 89, 93, 90 y 88);87;5.9;3.7;2.1;2.2;0.0966;
111 (UE 355 INV 1);26;5;2;1.1;1.2;0.0967;
PAÑO (UE 175  INV: 23) ;44;5.5;2.8;2;2;0.0967;
PAÑO (UE 175  INV: 24) ;84;6;3;2;2;0.0967;
 102 (UE 94  INVs: 89, 93, 90 y 88);16;6;2.4;1.8;1.7;0.0968;
105 (UE 105  INV: 3);2;5.5;2.9;1.5;1.7;0.0968;
356 (UE 357);65;5.8;2.8;2.2;2;0.0969;
114 (UE 167  INV 6);9;6.6;2.8;1.8;2;0.0971;
343 (UE 344  INV 1);88;5;1.8;1.5;1.8;0.0973;
108 (UE 95  INV 8);71;6;2.9;2.8;1.5;0.0973;
103 (UE 163  INV 16);87;6;3;2.3;1.9;0.0974;
PAÑO (UE 339  INV: 2);37;5.7;3;2.9;2.1;0.0974;
343 (UE 344  INV 1);39;5;2;2;1.8;0.0975;
PAÑO (UE 339  INV: 2);97;5;2.4;2;2;0.0977;
 102 (UE 94  INVs: 89, 93, 90 y 88);44;6.5;1.9;1.5;1.2;0.0978;
343 (UE 344  INV 1);98;5;2;1.8;2;0.0978;
105 (UE 105  INV: 3);11;5.5;2;2;2;0.0978;
356 (UE 357);9;6.1;3.1;2.7;1.8;0.0979;
343 (UE 344  INV 1);75;5.1;2.3;2;1.9;0.0981;
356 (UE 357);45;6;2;1.2;1.2;0.0982;
105 (UE 105  INV: 3);29;5.9;3.9;2.8;2.3;0.0983;
104 (UE 104  INV: 3);28;6.3;2.8;1.1;1.8;0.0984;
114 (UE 167  INV 6);55;6.1;2.9;1.5;2;0.0984;
343 (UE 344  INV 1);13;5.5;3;2;2.6;0.0984;
PAÑO (UE 175  INV: 23) ;86;5.5;2;1.8;1.8;0.0985;
 102 (UE 94  INVs: 89, 93, 90 y 88);92;6;3.2;2.9;2;0.0985;
114 (UE 167  INV 6);63;6;3;2;2;0.0986;
108 (UE 95  INV 8);4;5.5;3.8;2.1;2;0.0986;
114 (UE 167  INV 6);94;6;3.2;2;2.1;0.0987;
PAÑO (UE 175  INV: 24) ;92;6.1;2.8;2;2;0.0988;
105 (UE 105  INV: 3);14;6;3;1.8;1.9;0.0988;
105 (UE 105  INV: 3);4;5.5;2;1.5;1.8;0.0989;
105 (UE 105  INV: 3);51;5.9;3;2.5;2;0.0989;
114 (UE 167  INV 6);61;6;2.2;1.4;1.8;0.0992;
114 (UE 167  INV 6);20;5.5;2.2;1.8;2.9;0.0994;
108 (UE 95  INV 8);26;6;3.3;2.2;2;0.0994;
343 (UE 344  INV 1);67;5.8;2.2;2.1;2;0.0996;
111 (UE 355 INV 1);28;5.3;3;3;2.1;0.0996;
103 (UE 163  INV 16);22;6;3.5;2;2.2;0.0997;
114 (UE 167  INV 6);22;6;3;2;2;0.0998;
111 (UE 355 INV 1);89;5.9;2;1.8;1.6;0.0999;
PAÑO (UE 175  INV: 24) ;3;6;2.1;1.8;1.5;0.0999;
108 (UE 95  INV 8);62;5.9;3.2;2.1;1.9;0.0999;
356 (UE 357);46;5;2;2;2;0.1;
108 (UE 95  INV 8);60;5.8;3;2;2;0.1;
105 (UE 105  INV: 3);44;6.1;3.2;2.5;2.1;0.1;
 102 (UE 94  INVs: 89, 93, 90 y 88);12;5.5;3;1.9;2.1;0.1002;
343 (UE 344  INV 1);95;5;2;2;1.8;0.1003;
114 (UE 167  INV 6);30;6;2.1;1.5;1.5;0.1004;
356 (UE 357);97;5.2;2;1.5;1.2;0.1006;
PAÑO (UE 175  INV: 24) ;89;6;3;2;2.2;0.1006;
103 (UE 163  INV 16);10;6;2.8;2;1.9;0.1008;
101 y 102 (UE 94 y 95  INV 94 y 95);15;5.7;2.1;2;2.2;0.1009;
 102 (UE 94  INVs: 89, 93, 90 y 88);27;5.5;2;1.4;2.2;0.101;
PAÑO (UE 175  INV: 24) ;4;6;2.5;1.5;2.1;0.101;
356 (UE 357);8;6.9;2.9;2;1.4;0.1013;
356 (UE 357);74;5.5;2.8;2.5;2;0.1015;
PAÑO (UE 175  INV: 24) ;93;6;3;2.1;1.9;0.1015;
 102 (UE 94  INVs: 89, 93, 90 y 88);63;6;2.1;1.2;1.3;0.1016;
105 (UE 105  INV: 3);90;5.5;2;1.2;1.5;0.1019;
105 (UE 105  INV: 3);89;5.1;2.8;2;1.9;0.102;
PAÑO (UE 339  INV: 2);27;5.8;2.1;2;1.9;0.1021;
356 (UE 357);16;5;2.6;2;1.9;0.1021;
343 (UE 344  INV 1);46;6;3;3;2.5;0.1022;
 102 (UE 94  INVs: 89, 93, 90 y 88);13;5.5;2;1.1;2;0.1024;
PAÑO (UE 339  INV: 2);28;5.8;3;2.2;2.8;0.1024;
105 (UE 105  INV: 3);55;6;4;3;2.1;0.103;
 102 (UE 94  INVs: 89, 93, 90 y 88);86;5.9;3;2.7;2;0.1034;
103 (UE 163  INV 16);62;5;4.8;2.3;1.8;0.1034;
 102 (UE 94  INVs: 89, 93, 90 y 88);22;6;2.1;1.9;1.8;0.1035;
105 (UE 105  INV: 3);97;5;2.5;1.5;2;0.1036;
 102 (UE 94  INVs: 89, 93, 90 y 88);96;6.1;4;2.2;2.2;0.1036;
343 (UE 344  INV 1);36;5.8;2.2;2.2;1.4;0.1037;
PAÑO (UE 175  INV: 23) ;24;5.5;2.5;2.5;2.2;0.1039;
104 (UE 104  INV: 3);55;5.8;3.7;2;2.3;0.1039;
PAÑO (UE 339  INV: 2);60;5.1;2.1;2;2.1;0.104;
PAÑO (UE 175  INV: 24) ;73;6;3;1.1;1.8;0.104;
108 (UE 95  INV 8);65;6.1;3;2;1.8;0.1042;
105 (UE 105  INV: 3);24;5.5;3.6;2;2;0.1042;
356 (UE 357);51;5.1;2;1.8;1.8;0.1046;
PAÑO (UE 175  INV: 24) ;11;6.4;3.1;2;2.1;0.1046;
343 (UE 344  INV 1);61;5.2;3;2.9;2;0.1047;
PAÑO (UE 175  INV: 23) ;15;6;2;2;2.1;0.1048;
356 (UE 357);25;5.5;2.1;1.4;1.8;0.1049;
105 (UE 105  INV: 3);99;5.2;2.5;2;2;0.1049;
105 (UE 105  INV: 3);3;5.8;3;1.2;2;0.1049;
108 (UE 95  INV 8);51;6.1;3.5;2.9;1.9;0.1049;
356 (UE 357);90;6;1.8;1.5;1.3;0.105;
356 (UE 357);28;5;2.5;2;2.5;0.1051;
108 (UE 95  INV 8);92;6;2.1;1.9;1.9;0.1052;
PAÑO (UE 175  INV: 24) ;55;5.9;3.1;2;2.2;0.1052;
PAÑO (UE 175  INV: 24) ;47;6;2.8;2;1.9;0.1053;
 102 (UE 94  INVs: 89, 93, 90 y 88);64;6;2;1.7;2;0.1054;
105 (UE 105  INV: 3);9;5.5;2.5;1.5;1.8;0.1055;
 102 (UE 94  INVs: 89, 93, 90 y 88);9;6.2;2.8;2.1;1.8;0.1056;
 102 (UE 94  INVs: 89, 93, 90 y 88);43;5.2;3;2.1;2.9;0.1059;
343 (UE 344  INV 1);87;5.2;2.5;2;2;0.106;
114 (UE 167  INV 6);67;6.2;3;1.8;2;0.1061;
343 (UE 344  INV 1);1;5.9;3;2.9;1.9;0.1063;
114 (UE 167  INV 6);4;6.2;3.2;2.5;2;0.1068;
105 (UE 105  INV: 3);22;6;2.1;1.8;1.5;0.1069;
105 (UE 105  INV: 3);94;6;2.5;1.5;1.9;0.1069;
343 (UE 344  INV 1);23;5.8;2.8;2.1;2.1;0.1069;
108 (UE 95  INV 8);73;6;3.2;2;2.1;0.1069;
101 y 102 (UE 94 y 95  INV 94 y 95);27;6.1;3.2;3.1;2;0.1069;
104 (UE 104  INV: 3);20;6;2.8;2;2;0.107;
 102 (UE 94  INVs: 89, 93, 90 y 88);40;5.5;2.9;2.2;2.9;0.1072;
PAÑO (UE 175  INV: 24) ;66;6;2.8;1.8;2.5;0.1074;
108 (UE 95  INV 8);97;5.9;2.2;2;2.1;0.1076;
356 (UE 357);14;5;2;2.1;2.1;0.108;
343 (UE 344  INV 1);24;5.5;2.1;2.1;1.5;0.108;
 102 (UE 94  INVs: 89, 93, 90 y 88);15;6.4;2.4;1.5;2;0.108;
103 (UE 163  INV 16);55;6.5;2.9;2.9;1.9;0.1081;
 102 (UE 94  INVs: 89, 93, 90 y 88);32;6.1;2.9;2;2.5;0.1082;
104 (UE 104  INV: 3);4;5.9;3.2;2;1.8;0.1083;
 102 (UE 94  INVs: 89, 93, 90 y 88);50;5.8;3;1.4;2;0.1084;
104 (UE 104  INV: 3);65;6;2.9;2;1.5;0.1086;
108 (UE 95  INV 8);35;6.1;2.7;2;2;0.1088;
356 (UE 357);57;6.2;2.4;2;1.8;0.1089;
 102 (UE 94  INVs: 89, 93, 90 y 88);97;6.8;3;2;1.8;0.109;
104 (UE 104  INV: 3);26;6;2;2;1.9;0.1091;
108 (UE 95  INV 8);50;5.9;4.7;2.5;2.8;0.1092;
103 (UE 163  INV 16);60;5.9;3.4;2.7;2;0.1094;
114 (UE 167  INV 6);49;6.1;2;1.5;1.2;0.1104;
PAÑO (UE 175  INV: 24) ;28;5.5;2.2;2;2;0.1104;
101 y 102 (UE 94 y 95  INV 94 y 95);47;5.5;2.7;2;2.1;0.1104;
PAÑO (UE 175  INV: 24) ;1;6;2.5;2;1.6;0.1105;
111 (UE 355 INV 1);82;6.2;2.8;2;1.6;0.1105;
105 (UE 105  INV: 3);25;6;3;2;2;0.1105;
 102 (UE 94  INVs: 89, 93, 90 y 88);54;5.9;2.7;1.2;2;0.1106;
104 (UE 104  INV: 3);25;6;1.5;1.1;1.4;0.1107;
356 (UE 357);43;6;2.5;1.8;1.5;0.1107;
103 (UE 163  INV 16);56;6;3.1;2.1;2.5;0.1107;
343 (UE 344  INV 1);59;5.2;3;2.8;2.7;0.1108;
105 (UE 105  INV: 3);63;5.7;3;1.8;2;0.111;
104 (UE 104  INV: 3);43;6.1;3.1;2.1;2.1;0.1118;
356 (UE 357);95;7;2;1.8;1.7;0.1119;
108 (UE 95  INV 8);55;5.9;3.8;3.7;2.2;0.112;
PAÑO (UE 339  INV: 2);68;5;2.1;1.7;2.5;0.1122;
 102 (UE 94  INVs: 89, 93, 90 y 88);59;6;3;1.9;2.2;0.1126;
104 (UE 104  INV: 3);58;6.3;4.7;2.5;2;0.1126;
 102 (UE 94  INVs: 89, 93, 90 y 88);30;5.8;2.2;1;2;0.1127;
PAÑO (UE 339  INV: 2);93;5.9;2.4;2.1;2.3;0.1128;
343 (UE 344  INV 1);20;6;2.4;2.1;2;0.1129;
PAÑO (UE 175  INV: 24) ;12;6.1;3;2.2;3;0.113;
356 (UE 357);63;6.2;2.9;2.5;2;0.1131;
104 (UE 104  INV: 3);37;6;3;2;2.6;0.1132;
356 (UE 357);33;5;3.5;2;1.3;0.1132;
343 (UE 344  INV 1);29;5.5;2;2;1.5;0.1133;
343 (UE 344  INV 1);97;5.1;2;1.8;2.1;0.1133;
PAÑO (UE 374  INV: 1);49;5;2.5;2.1;2.5;0.1133;
343 (UE 344  INV 1);73;6;2.9;2.8;2;0.1134;
 102 (UE 94  INVs: 89, 93, 90 y 88);66;6;2.1;1.8;2.2;0.1135;
343 (UE 344  INV 1);63;6;3.2;3;2.7;0.1137;
PAÑO (UE 175  INV: 23) ;19;6.1;2.9;2;2;0.1138;
356 (UE 357);99;6;1.8;1.8;1.5;0.1144;
343 (UE 344  INV 1);91;5.1;2;2;2;0.1144;
105 (UE 105  INV: 3);28;5.9;3.2;2.9;2.8;0.1145;
PAÑO (UE 175  INV: 23) ;63;6;3.9;2;1.7;0.1145;
PAÑO (UE 175  INV: 24) ;2;5.1;2.2;2;2;0.1146;
 102 (UE 94  INVs: 89, 93, 90 y 88);24;6.3;2.6;1.7;2;0.115;
103 (UE 163  INV 16);5;6.8;4;2.2;2.1;0.1155;
343 (UE 344  INV 1);77;5.7;3.4;2.7;2.1;0.1156;
114 (UE 167  INV 6);3;6.2;3.3;3;2;0.1157;
PAÑO (UE 175  INV: 24) ;83;6.6;4.5;2.1;2.1;0.1161;
103 (UE 163  INV 16);33;6.5;3;2.8;2.1;0.1165;
343 (UE 344  INV 1);72;5.2;3.2;3;2.9;0.1166;
108 (UE 95  INV 8);95;6;2.2;2;2.1;0.117;
356 (UE 357);62;5.7;2.9;2.5;2.2;0.1171;
PAÑO (UE 175  INV: 23) ;11;5.1;2.9;2.7;2.6;0.1172;
105 (UE 105  INV: 3);69;6;2.5;1.5;2;0.1174;
108 (UE 95  INV 8);68;5.9;4.1;2.1;2.5;0.1177;
PAÑO (UE 175  INV: 24) ;63;6;3;1.8;1.5;0.1179;
105 (UE 105  INV: 3);57;6.1;2.7;2.2;2;0.118;
 102 (UE 94  INVs: 89, 93, 90 y 88);11;6.1;2.5;2;2;0.1183;
 102 (UE 94  INVs: 89, 93, 90 y 88);10;6.2;2.9;2;1.9;0.1185;
 102 (UE 94  INVs: 89, 93, 90 y 88);4;6;3.1;2.1;2;0.1185;
105 (UE 105  INV: 3);5;6;2;2;1.1;0.1186;
 102 (UE 94  INVs: 89, 93, 90 y 88);41;6.4;2.4;1.3;1.9;0.119;
103 (UE 163  INV 16);81;5.9;3.1;2.1;2.9;0.1194;
114 (UE 167  INV 6);66;6;3.6;2;2.9;0.1194;
103 (UE 163  INV 16);83;6.5;3.9;3;1.9;0.1194;
356 (UE 357);24;6;2.8;2.8;1.8;0.1198;
PAÑO (UE 175  INV: 24) ;20;6.1;3;2;2;0.1198;
PAÑO (UE 374  INV: 1);54;6;3.3;2.5;2;0.1205;
343 (UE 344  INV 1);69;5.19;3.2;3.1;2.1;0.1206;
PAÑO (UE 175  INV: 24) ;17;6.5;3.1;2.1;2;0.1209;
108 (UE 95  INV 8);1;6;3.1;1.9;2.1;0.1211;
114 (UE 167  INV 6);64;6.1;3;2;2;0.1216;
PAÑO (UE 175  INV: 24) ;36;5.5;3.2;1.8;2.1;0.1218;
343 (UE 344  INV 1);27;5.1;2;2;2.1;0.1219;
103 (UE 163  INV 16);40;6.1;3;2;2.1;0.1222;
356 (UE 357);89;6.5;2.8;1.8;1.8;0.1226;
108 (UE 95  INV 8);84;6;2.1;1.8;2.1;0.1231;
343 (UE 344  INV 1);78;6;3;2.1;2;0.1235;
102 (UE 94  INVs: 89, 93, 90 y 88);1;6;3;2;2.2;0.124;Margen de error de 0,0015 (en todas las cuentas)
108 (UE 95  INV 8);18;6;3.1;2.1;2.5;0.1245;
 102 (UE 94  INVs: 89, 93, 90 y 88);31;5.7;2.6;2;2.2;0.1246;
PAÑO (UE 175  INV: 24) ;74;5.1;2.9;1.1;2;0.1254;
343 (UE 344  INV 1);16;6;3.8;3.1;2.1;0.1256;
105 (UE 105  INV: 3);6;6;3.5;1.5;2.5;0.1258;
103 (UE 163  INV 16);63;6.1;3.3;2.1;2.1;0.1259;
114 (UE 167  INV 6);65;6.2;4.1;1.9;2.2;0.1259;
PAÑO (UE 339  INV: 2);14;5.5;2.8;2;2.2;0.126;
343 (UE 344  INV 1);100;5.5;2.1;2;2;0.1264;
PAÑO (UE 175  INV: 24) ;58;6.2;3;2.1;2;0.1264;
 102 (UE 94  INVs: 89, 93, 90 y 88);57;6.8;2.1;2;1.1;0.1271;
108 (UE 95  INV 8);90;6.2;3.5;2.3;2;0.128;
PAÑO (UE 175  INV: 24) ;6;6.3;2.1;1.1;1.2;0.1282;
 102 (UE 94  INVs: 89, 93, 90 y 88);55;6.1;2.3;1;1.9;0.1288;
PAÑO (UE 175  INV: 24) ;48;6.7;2.8;1.9;1.9;0.1289;
 102 (UE 94  INVs: 89, 93, 90 y 88);6;6;3.5;2;2.1;0.129;
 102 (UE 94  INVs: 89, 93, 90 y 88);70;6;2.2;1.8;2.9;0.1292;
111 (UE 355 INV 1);50;6.2;3.1;2;1.9;0.1295;
PAÑO (UE 175  INV: 24) ;75;6;2.4;2;2;0.1297;
 102 (UE 94  INVs: 89, 93, 90 y 88);33;5.9;3.5;2.4;2.6;0.1299;
 102 (UE 94  INVs: 89, 93, 90 y 88);20;7;3;1.8;1.9;0.13;
343 (UE 344  INV 1);15;7;2.7;2;1.7;0.1315;
108 (UE 95  INV 8);47;5.9;3.6;2.5;3;0.132;
 102 (UE 94  INVs: 89, 93, 90 y 88);2;6.1;2.9;1.9;2;0.1322;
108 (UE 95  INV 8);52;6;3.9;2.1;2.2;0.1324;
 102 (UE 94  INVs: 89, 93, 90 y 88);45;6.2;3.4;1.9;2.7;0.1326;
 102 (UE 94  INVs: 89, 93, 90 y 88);62;6;2.2;1.9;1.9;0.1327;
343 (UE 344  INV 1);2;6;2.2;2.1;2.1;0.134;
PAÑO (UE 175  INV: 24) ;78;6;2;1.7;2;0.1351;
103 (UE 163  INV 16);99;6.1;3.8;3;2.1;0.1357;
108 (UE 95  INV 8);54;6;2.9;2;1.9;0.1362;
105 (UE 105  INV: 3);1;6;2.5;2;2.5;0.138;
105 (UE 105  INV: 3);39;6.9;3;2.1;2.1;0.1385;
343 (UE 344  INV 1);18;6.9;3;2;2;0.1389;
PAÑO (UE 339  INV: 2);75;5.1;3;3;2.9;0.1392;
 102 (UE 94  INVs: 89, 93, 90 y 88);91;6;3;2;1.9;0.1403;
PAÑO (UE 175  INV: 24) ;42;6;3;1.5;2;0.1411;
PAÑO (UE 175  INV: 24) ;5;6.1;2;1.8;2;0.1425;
PAÑO (UE 175  INV: 23) ;88;6;2.1;1.5;2.3;0.1443;
 102 (UE 94  INVs: 89, 93, 90 y 88);26;6;2.2;1.8;2;0.1456;
 102 (UE 94  INVs: 89, 93, 90 y 88);53;6.2;3;1.9;2.2;0.1457;
PAÑO (UE 175  INV: 24) ;64;6;2;1.2;2;0.1463;
PAÑO (UE 175  INV: 24) ;96;6.6;3.3;2.1;2;0.1478;
PAÑO (UE 175  INV: 24) ;31;6.1;2.5;1.5;2;0.1544;
PAÑO (UE 339  INV: 2);63;5.4;3;2.5;3;0.1568;
108 (UE 95  INV 8);99;6.1;3;2.5;2.9;0.1606;
343 (UE 344  INV 1);21;6.9;3.6;2.9;2.2;0.1612;
PAÑO (UE 339  INV: 2);91;6;3;3;2.8;0.1623;
108 (UE 95  INV 8);89;6.1;3.7;2;3.1;0.1664;
356 (UE 357);12;7;2.8;2.1;2;0.1675;
343 (UE 344  INV 1);28;7;3;1.8;2;0.176;
PAÑO (UE 339  INV: 2);22;6;3.5;3.1;3.8;0.177;
PAÑO (UE 175  INV: 24) ;71;6.8;3;2.1;2;0.1915;
PAÑO (UE 339  INV: 2);67;6;2;2;3;0.1979;
